City,Metric,Forecast
Brajrajnagar,SO2,"[9.449412027848682, 9.375123463938722, 9.371113042178742, 9.336051888039645, 9.352479915145604, 9.367426452671184, 9.364421938421328]"
Brajrajnagar,O3,"[37.05304234129245, 35.7347065184369, 35.27630298605714, 35.13857792043606, 35.92752693905513, 36.80497854597892, 36.59335318674606]"
Brajrajnagar,Benzene,"[1.9120536834253887, 1.5436121966320617, 1.6530796540409098, 1.835948630037386, 1.8492322386319255, 2.057250419756974, 1.995518969574859]"
Brajrajnagar,Toluene,"[0.3302605849687207, 0.3302605838888648, 0.33026058307940526, 0.3302605825400531, 0.33026058227051935, 0.33026058227051514, 0.33026058227051236]"
Brajrajnagar,Xylene,"[4.150000206311941, 4.148557578829665, 4.147115024423358, 4.145672462643763, 4.144230075673317, 4.142787573867575, 4.141345130249227]"
Brajrajnagar,AQI,"[90.76692872882923, 90.30133843257947, 90.1435057819944, 90.09258013817637, 90.2763668120394, 90.44091364512818, 90.45845099790128]"
Chandigarh,PM2.5,"[36.20869904200851, 33.468659987538025, 34.96463798014215, 36.49767947900632, 33.60630472249215, 33.07572414371884, 33.9587967731578]"
Chandigarh,PM10,"[77.38959746652235, 73.2983118357128, 72.7144708841617, 77.16320291456455, 71.67824595229106, 70.86253520347337, 72.60923222198893]"
Chandigarh,NO,"[0.6553206016941192, 0.7494887280652148, 0.7466744797260153, 0.7935897682547663, 0.8060084749175184, 0.7602600807648002, 0.7446209801449079]"
Chandigarh,NO2,"[9.436545594690656, 8.921234656606716, 8.774835683911496, 8.248630131356668, 8.355026672859946, 8.647327691405884, 8.805657846819438]"
Chandigarh,NOx,"[5.782764680745694, 5.322585960840892, 5.156225913316688, 5.236790168553439, 5.1519431432864025, 5.287405239030156, 5.387762005681757]"
Chandigarh,NH3,"[37.51556720567734, 41.20637474042752, 39.95327501207604, 40.27734837957554, 41.644090057515825, 41.47438130464273, 40.66239363769917]"
Chandigarh,CO,"[0.3261482322439999, 0.3136062993661633, 0.3083005463947594, 0.3088368101312871, 0.3089643292142094, 0.3136427939704254, 0.3162963936449679]"
Chandigarh,SO2,"[13.719056729509614, 12.974000414937999, 13.271420228921787, 13.718042225672619, 13.447150668114435, 13.569948309406843, 13.544682550008208]"
Chandigarh,O3,"[36.9573040706633, 36.9599753260347, 38.588994763837285, 37.576627012253724, 37.430692218471584, 36.84406410148339, 37.188489549329866]"
Chandigarh,Benzene,"[3.7479493545677043, 3.41443920133641, 3.3206748834712605, 3.4534993689548013, 3.29493767446095, 3.272188695134332, 3.4057334627351596]"
Chandigarh,Toluene,"[2.431837068504603, 1.800940065907865, 2.334486568968032, 2.4065595165567517, 2.5619399661153457, 2.2147167451901613, 2.3158117384314716]"
Chandigarh,Xylene,"[0.5474021793485084, 0.6965146222009222, 0.7659226718668146, 0.7773396590970301, 0.8384113429485968, 0.733029283889084, 0.6995060808804058]"
Chandigarh,AQI,"[65.47701519954735, 66.9428992021458, 67.69607638737966, 70.80952383505341, 71.40481898979807, 70.73993473441523, 69.9130725642852]"
Chennai,PM2.5,"[20.33334585888337, 21.057643708804044, 21.07211634793233, 20.993635355960382, 20.857010957475573, 20.374458487257645, 20.62588415458919]"
Chennai,PM10,"[17.79126522652155, 20.507361654820055, 23.03284149619952, 19.711330785147137, 21.853786403767057, 19.408490417556823, 19.86860550488653]"
Chennai,NO,"[7.027060703774978, 7.072376384746449, 7.214642477913502, 7.259841619840846, 7.319308504464291, 7.111771123466982, 7.157267044936761]"
Chennai,NO2,"[9.981306152617773, 10.816566895440562, 10.853127911306375, 10.429190111845331, 10.746767119271055, 10.803082011814707, 10.619300473619463]"
Chennai,NOx,"[16.845228880871733, 17.495786794889156, 17.200318263661877, 17.28336602605894, 17.503262355227633, 17.315283315135076, 17.298658794578014]"
Chennai,NH3,"[33.89639584621068, 34.11313103741653, 34.082361124553884, 34.01124191736539, 33.94436883528561, 33.974809161935916, 34.00359152705975]"
Chennai,CO,"[1.0235716609798078, 1.0271540682240912, 0.9991195575414406, 1.0048748786371342, 1.0127703200833, 1.01054576929622, 1.0113617610329675]"
Chennai,SO2,"[8.176395198460447, 7.7488607255453985, 7.766464532894379, 7.826010118775424, 7.934218502813797, 8.014364857724482, 7.956855171301713]"
Chennai,O3,"[53.008848261285245, 56.732532245514555, 58.70316712986125, 58.80202439779843, 58.56846598034899, 57.42570959336171, 57.19365016773533]"
Chennai,Benzene,"[0.11181262066785624, 0.11081186692105706, 0.11161060415451678, 0.10971965636559765, 0.11129104734226146, 0.11062616829974489, 0.11077149893941866]"
Chennai,Toluene,"[-0.03660430516393614, -0.03865028913144547, 0.005416474069574066, 0.007730301445423974, 0.02451198694535793, 0.016226220951136162, 0.008841218228663496]"
Chennai,Xylene,"[8.328861987394998, 8.332778400795247, 8.336689923612417, 8.340603507020202, 8.344517089775676, 8.34842901125348, 8.352341509738888]"
Chennai,AQI,"[93.67958722054405, 95.30371934209862, 96.43307594043064, 97.69944992128667, 97.96750295740364, 97.00278494734417, 96.65385732385339]"
Coimbatore,PM2.5,"[120.49065408785034, 78.43531008856237, 63.86401981054971, 69.42189965856006, 56.0941993046159, 80.09647471849539, 89.30135899227132]"
Coimbatore,PM10,"[173.42208080416864, 125.08704452457202, 102.51532418792759, 107.5265622320306, 92.32028063649396, 149.923505884905, 144.0354816223905]"
Coimbatore,NO,"[67.74763442333665, 67.28844401163485, 67.19970184023808, 67.23346725476644, 67.25347086328841, 67.2727554745059, 67.27977761939017]"
